Location,Latitude,Longitude,Bedrooms,Garage,Bathrooms,Price
Tema community 25,5.6789327,-0.0231499,3,,3,956031
Teshie,5.5822343,-0.1135104,5,1,5,2258340
East legon,5.6392848,-0.1624589,3,,4,1881950
Cantonments,5.5841563,-0.1692489,4,1,4,5645850
East legon ,5.6392848,-0.1624589,4,,5,3011120
Dome,5.6554227,-0.232884,3,1,3,1279726
Spintex,5.6288265,-0.0901987,3,,3,1193250
East legon,5.6392848,-0.1624589,4,,4,1505560
Greater accra region,5.8101532,0.0995242,5,1,5,4516680
East legon ,5.6392848,-0.1624589,4,,5,2634730
Tse addo,5.571400049999999,-0.13534024999999966,3,,4,1693755
Adenta,5.7041391,-0.1687965,3,1,4,1204448
East legon ,5.6392848,-0.1624589,4,,5,2860564
Sakumono,5.6252982,-0.0570156,3,,4,1242087
Tse addo,5.571400049999999,-0.13534024999999966,5,,5,3387510
Spintex,5.6288265,-0.0901987,4,,4,2485440
Greater accra region,5.8101532,0.0995242,3,,3,1279726
East legon ,5.6392848,-0.1624589,5,,6,9786140
Oyarifa,5.756972,-0.1748633,3,1,3,700000
Spintex,5.6288265,-0.0901987,3,,3,1193250
East legon,5.6392848,-0.1624589,4,,4,1505560
Greater accra region,5.8101532,0.0995242,5,1,5,4516680
East legon ,5.6392848,-0.1624589,4,,5,2634730
Tse addo,5.571400049999999,-0.13534024999999966,3,,4,1693755
Adenta,5.7041391,-0.1687965,3,1,4,1204448
East legon ,5.6392848,-0.1624589,4,,5,2860564
Sakumono,5.6252982,-0.0570156,3,,4,1242087
Tse addo,5.571400049999999,-0.13534024999999966,5,,5,3387510
Spintex,5.6288265,-0.0901987,4,,4,2485440
Greater accra region,5.8101532,0.0995242,3,,3,1279726
East legon ,5.6392848,-0.1624589,5,,6,9786140
Adjiringanor,5.6496506,-0.1366577,4,,4,2710008
East legon hills,5.6927588,-0.1004742,3,,3,1167000
Greater accra region,5.8101532,0.0995242,4,,5,1731394
East legon,5.6392848,-0.1624589,5,,5,5269460
Spintex,5.6288265,-0.0901987,4,,5,2070145
Adenta,5.7041391,-0.1687965,4,1,5,1994867
Spintex,5.6288265,-0.0901987,4,,4,5835000
Greater accra region,5.8101532,0.0995242,4,2,5,4516680
Spintex,5.6288265,-0.0901987,3,,3,828058
Tse addo,5.571400049999999,-0.13534024999999966,3,,3,3613344
Greater accra region,5.8101532,0.0995242,5,,6,4893070
East legon,5.6392848,-0.1624589,4,,4,2107784
Dzorwulu ,5.6130923,-0.1991566,4,1,5,3012400
Nmai-dzorn ,5.6859863,-0.1501026,4,2,5,1580838
East legon hills,5.6927588,-0.1004742,4,,4,1430282
Spintex,5.6288265,-0.0901987,3,,3,1004250
Greater accra region,5.8101532,0.0995242,3,,4,940975
East legon ,5.6392848,-0.1624589,4,,5,2258340
Spintex,5.6288265,-0.0901987,3,,3,1731394
East legon ,5.6392848,-0.1624589,4,,5,2634730
Greater accra region,5.8101532,0.0995242,4,,5,900000
East legon hills,5.6927588,-0.1004742,4,1,4,1806672
East legon,5.6392848,-0.1624589,3,1,4,1807440
East legon ,5.6392848,-0.1624589,4,,5,3312232
East legon,5.6392848,-0.1624589,3,,3,3763900
Greater accra region,5.8101532,0.0995242,3,,4,1505560
Spintex,5.6288265,-0.0901987,5,,6,3011120
Spintex,5.6288265,-0.0901987,7,,7,3387510
East legon ,5.6392848,-0.1624589,5,1,6,10538920
Spintex,5.6288265,-0.0901987,3,,3,752780
East airport,5.6271981,-0.1080795,4,,4,2856080
Adjiringanor ,5.6496506,-0.1366577,5,,6,4893070
Adenta,5.7041391,-0.1687965,3,1,4,900000
East legon,5.6392848,-0.1624589,5,,5,27475
Greater accra region,5.8101532,0.0995242,4,2,5,4893070
East legon ,5.6392848,-0.1624589,5,,6,5269460
East legon,5.6392848,-0.1624589,3,,3,1050000
East legon hills,5.6927588,-0.1004742,3,,4,903336
East legon,5.6392848,-0.1624589,4,1,5,4446000
Nmai dzorn,5.6859863,-0.1501026,4,,5,1505560
East legon,5.6392848,-0.1624589,4,,4,2032506
Accra,5.5571096,-0.2012376,3,,3,1392643
Dome,5.6554227,-0.232884,4,,5,1612500
Spintex,5.6288265,-0.0901987,4,,5,2737500
Dome,5.6554227,-0.232884,4,,5,1612500
Spintex,5.6288265,-0.0901987,4,,5,2737500
Spintex,5.6288265,-0.0901987,4,,5,2400000
East legon hills,5.6927588,-0.1004742,4,,5,2212500
Oyarifa,5.756972,-0.1748633,3,,4,1087500
East legon,5.6392848,-0.1624589,3,,4,3112500
Cantonments,5.5841563,-0.1692489,4,,5,6112500
Sakumono,5.6252982,-0.0570156,3,,4,1012500
East legon,5.6392848,-0.1624589,5,,6,4742514
Tema. accra,5.6596441,-0.0096592,3,,3,1207500
East legon hills,5.6927588,-0.1004742,6,,7,3487500
Adjiringanor,5.6496506,-0.1366577,4,,5,3112500
East legon,5.6392848,-0.1624589,5,,6,5194182
Cantonments,5.5841563,-0.1692489,4,,5,11250000
East legon,5.6392848,-0.1624589,4,,5,27852860
East airport,5.6271981,-0.1080795,3,,4,2219816
East legon,5.6392848,-0.1624589,4,,5,2710008
East legon,5.6392848,-0.1624589,3,,4,1987500
Spintex,5.6288265,-0.0901987,4,,5,2512500
Oyarifa,5.756972,-0.1748633,3,2,3,978614
Oyarifa,5.756972,-0.1748633,4,3,5,1279726
Oyibi,5.8142534,-0.121343,4,3,3,602224
Community 22,5.7125358,-0.0293623,6,4,4,800000
Oyibi,5.8142534,-0.121343,3,,3,677502
Oyarifa,5.756972,-0.1748633,2,2,2,602224
Oyarifa,5.756972,-0.1748633,3,2,3,752780
Michel camp,5.728968699999999,-0.024570781371168977,2,2,3,170000
Lashibi,5.6850117,-0.0383551,4,,4,1170000
Gbawe,5.5848819,-0.3128207,4,,4,6950000
East airport,5.6271981,-0.1080795,3,3,4,2865440
Tse addo,5.571400049999999,-0.13534024999999966,5,,5,2609694
East legon,5.6392848,-0.1624589,4,,5,2737500
Gbawe,5.5848819,-0.3128207,4,,4,950000
Spintex,5.6288265,-0.0901987,3,,3,5645850
Gbawe,5.5848819,-0.3128207,4,,3,1170000
Adjiringanor,5.6496506,-0.1366577,3,,3,4140290
East legon hills,5.6927588,-0.1004742,4,,5,3112500
Lashibi,5.6850117,-0.0383551,4,,4,1170000
Spintex road,5.6337386,-0.0978899,4,,4,4516680
East airport,5.6271981,-0.1080795,4,,5,3750000
Asylum down,5.5709323,-0.2025493,4,,4,3988707
East airport,5.6271981,-0.1080795,4,,5,3750000
Tema,5.6596441,-0.0096592,9,2,6,4500000
Spintex,5.6288265,-0.0901987,3,,3,2477998
Kokomlemle,5.5755147,-0.2088731,4,,4,4316012
Dzorwulu,5.6130923,-0.1991566,6,,6,3450000
Abelemkpe,5.609565,-0.2119801,4,,4,1437500
East legon,5.6392848,-0.1624589,4,,4,2415000
Dome,5.6554227,-0.232884,8,2,4,800000
East legon hills,5.6927588,-0.1004742,2,,3,324000
East legon,5.6392848,-0.1624589,4,,5,2925000
East legon hills,5.6927588,-0.1004742,4,,5,1800000
Oyarifa,5.756972,-0.1748633,4,,5,1120000
Oyibi,5.8142534,-0.121343,2,,2,350000
Ashongman,5.697026,-0.2338194,3,,4,8760000
Ablekuma,5.6279342,-0.3135003,4,10,5,500000
Kwabenya,5.6738604,-0.2488115,5,,6,700000
Pokuase,5.6892131,-0.2826359,3,,3,460000
Gbawe,5.5848819,-0.3128207,7,1,3,523400
Adjiringanor,5.6496506,-0.1366577,4,,5,3150000
Nmai dzor,5.6907766,-0.0996907,5,,6,870000
East legon hills,5.6927588,-0.1004742,3,,4,426000
Sarpeiman,5.726363,-0.3108761,3,,3,455000
Sarpeiman,5.726363,-0.3108761,2,,2,350000
Adenta,5.7041391,-0.1687965,3,,4,1068000
Pokuase,5.6892131,-0.2826359,3,3,3,490000
Pokuase,5.6892131,-0.2826359,3,3,3,300000
Pokuase,5.6892131,-0.2826359,3,,3,450000
Airport residential area,5.6132499,-0.1832656,4,,4,6599626
Abelemkpe,5.609565,-0.2119801,4,,4,4124766
Cantonments,5.5841563,-0.1692489,4,,4,5719477
East legon hills,5.6927588,-0.1004742,4,3,5,1260000
East legon,5.6392848,-0.1624589,5,,4,5269460
Pokuase,5.6892131,-0.2826359,4,,4,303957
Abelemkpe,5.609565,-0.2119801,5,,5,4399751
Spintex ,5.6288265,-0.0901987,5,,5,3387510
Amasaman,5.703291,-0.2990647,3,3,3,380000
East legon,5.6392848,-0.1624589,4,,4,4140290
Asylum down,5.5709323,-0.2025493,5,,5,4844558
Roman ridge,5.6052845,-0.1973074,4,,4,4516680
Ashaley botwe,5.6864517,-0.1369489,3,,4,1063750
Roman ridge,5.6052845,-0.1973074,4,,3,6022240
Tse addo,5.571400049999999,-0.13534024999999966,7,20,9,3300000
Spintex,5.6288265,-0.0901987,6,,7,4972500
Spintex ,5.6288265,-0.0901987,3,,3,1129170
Spintex,5.6288265,-0.0901987,4,1,5,3387510
Spintex,5.6288265,-0.0901987,7,,7,2710008
Spintex ,5.6288265,-0.0901987,3,,4,1125000
Spintex ,5.6288265,-0.0901987,4,,4,1430282
Spintex,5.6288265,-0.0901987,4,,5,2258340
Spintex ,5.6288265,-0.0901987,4,,5,2250000
Spintex,5.6288265,-0.0901987,4,1,5,3387510
Spintex,5.6288265,-0.0901987,7,,8,3387510
Spintex,5.6288265,-0.0901987,7,,7,2710008
Spintex ,5.6288265,-0.0901987,4,,5,2850000
Spintex,5.6288265,-0.0901987,3,,4,978614
Teshie,5.5822343,-0.1135104,3,,3,2470291
Airport residential area,5.6132499,-0.1832656,4,,4,5499689
Spintex,5.6288265,-0.0901987,5,,6,2369519
Adenta,5.7041391,-0.1687965,3,,4,2962500
West trasacco,5.6471725,-0.1134111,5,,5,14375000
West trasacco,5.6471725,-0.1134111,5,,5,14375000
Adjiringanor,5.6496506,-0.1366577,4,,4,2012500
Accra - tema ,5.6596441,-0.0096592,3,4,4,750000
East legon,5.6392848,-0.1624589,3,,3,2443750
East legon hills,5.6927588,-0.1004742,3,,3,459000
East legon hills,5.6927588,-0.1004742,3,,3,236500
 east legon ghana link ,5.6401671,-0.1619568,6,1,6,8503
Spintex zenith bank ,5.6306111,-0.1431358,6,1,7,3389179
East legon hills,5.6927588,-0.1004742,2,,2,1044000
East airport,5.6271981,-0.1080795,4,,4,2475000
East legon hills,5.6927588,-0.1004742,3,,3,1450000
Adjiringanor road,5.6457535,-0.1394776,5,2,5,4590000
Abokobi,5.7381697,-0.1948689,3,,4,335500
Adjiringanor,5.6496506,-0.1366577,4,,4,3900000
East legon hills,5.6927588,-0.1004742,3,4,4,610200
Adjiringanor,5.6496506,-0.1366577,4,,4,2030000
Trasacco west,5.6471725,-0.1134111,5,1,6,2785286
Adenta,5.7041391,-0.1687965,4,,4,2280000
East airport,5.6271981,-0.1080795,3,,3,1430282
Adjiringanor,5.6496506,-0.1366577,4,,4,1210000
East legon hills,5.6927588,-0.1004742,4,,4,1540000
East airport,5.6271981,-0.1080795,4,,4,2475000
Spintex,5.6288265,-0.0901987,3,4,3,900000
East airport,5.6271981,-0.1080795,5,,5,3575000
Adjiringanor road,5.6457535,-0.1394776,5,2,5,4590000
East legon hills,5.6927588,-0.1004742,4,2,5,880000
Nungua buade,5.6112922,-0.0812076,2,3,2,470000
Haatso madina road ,5.6771995,-0.1916515,12,1,12,3600000
East legon,5.6392848,-0.1624589,5,,5,4675000
East legon hills,5.6927588,-0.1004742,4,,5,1430000
East legon,5.6392848,-0.1624589,3,,3,1650000
Tema community 14- lashibi,5.7069368,-0.0165864,4,,4,1800000
East legon hills,5.6927588,-0.1004742,4,4,5,4320000
East airport,5.6271981,-0.1080795,4,,4,2475000
Adjiringanor,5.6496506,-0.1366577,4,,4,1210000
East legon hills,5.6927588,-0.1004742,4,,4,1540000
Achimota,5.6242019,-0.2276807,4,,4,2400000
East legon hills,5.6927588,-0.1004742,4,2,5,880000
East legon hills,5.6927588,-0.1004742,4,,4,1450000
Adjiringanor road,5.6457535,-0.1394776,5,2,5,4590000
East legon,5.6392848,-0.1624589,4,,4,3770000
East airport,5.6271981,-0.1080795,5,,5,3575000
 spintex  kpogas ,5.6353678,-0.1009769,3,,3,710000
East legon,5.6392848,-0.1624589,5,,5,4675000
East legon hills,5.6927588,-0.1004742,4,,5,1430000
East legon,5.6392848,-0.1624589,4,,4,2475000
East legon hills,5.6927588,-0.1004742,3,2,4,660000
East legon hills,5.6927588,-0.1004742,3,,3,1375000
East legon,5.6392848,-0.1624589,3,,3,2443750
Adjiringanor,5.6496506,-0.1366577,7,,7,4125000
East airport,5.6271981,-0.1080795,4,4,4,1485000
East legon hills,5.6927588,-0.1004742,3,,3,962500
Adjiringanor,5.6496506,-0.1366577,8,,8,6600000
East legon hills,5.6927588,-0.1004742,3,,3,825000
Adjiringanor,5.6496506,-0.1366577,4,,4,1925000
Adenta,5.7041391,-0.1687965,4,,4,2280000
East legon hills,5.6927588,-0.1004742,3,,3,702000
Adjiringanor,5.6496506,-0.1366577,4,,4,2030000
Trasacco west,5.6471725,-0.1134111,5,1,6,2785286
East legon hills,5.6927588,-0.1004742,3,,3,1375000
East legon hills,5.6927588,-0.1004742,3,2,4,660000
Adjiringanor,5.6496506,-0.1366577,7,,7,4125000
East legon hills,5.6927588,-0.1004742,3,,3,825000
Adjiringanor,5.6496506,-0.1366577,4,,4,2030000
Adjiringanor,5.6496506,-0.1366577,8,,8,6600000
East airport,5.6271981,-0.1080795,4,4,4,1485000
Trasacco west,5.6471725,-0.1134111,5,1,6,2785286
East legon hills,5.6927588,-0.1004742,3,,3,702000
Adenta,5.7041391,-0.1687965,4,,4,2280000
Adjiringanor,5.6496506,-0.1366577,4,,4,1925000
Spintex,5.6288265,-0.0901987,3,4,3,900000
East airport,5.6271981,-0.1080795,3,,3,1430282
